cos2_sigma0,emp_ratio_d2
0.05258499792534009,0.018233018514008468
0.20673003484315622,0.08890280170006583
0.12790354393557193,0.15907202426962597
0.03701780454818307,0.0477100977808374
0.13778318644531404,0.28748886243303445
0.19782941960469702,0.23222248098095907
0.1648872724924438,0.2487587944752752
0.3433075757482689,0.2978215935340965
0.17327239309636203,0.11584346995772102
0.22807359539264233,0.1350337780556134
0.04144329186274054,0.04211941985816463
0.16126879067628447,0.14775724449972266
0.18901659954946454,0.1098447746994893
0.15291064521675896,0.10473734763540841
0.039022725812149515,0.003840238371892618
0.007395649160816655,0.05436810999055708
0.06642502582090601,0.14907371316668003
0.37814474654828956,0.4203274992338224
0.42862670086965465,0.33818962376547873
0.11200770444592803,0.1204238163184294
0.151279506083603,0.2759732508706594
0.06647841039471353,0.00045188213892977943
0.09112047799959087,0.09814033904238728
0.13226534395628262,0.24082004588244943
0.005459422985685675,0.06238235366386229
0.032950079123909196,0.00044607576090366764
1.5560084831404487e-07,0.04644618207205757
0.2484935398170315,0.33484138822187576
0.09270726285782464,0.021123948623010036
0.0012740069749795004,0.005647938438160164
0.19752972319064746,0.1633488511742653
0.018496416949988718,0.02326621323570461
0.005893317037745501,0.0005687453188061497
0.2972047691674377,0.3300833291971289
0.07309377277117704,0.10961889477904334
0.04109859834749434,0.0470968694216033
0.13986635764394445,0.19342405260370102
0.40883564292567043,0.3188961437055725
0.03714191126360776,0.0007604287153295228
0.131708196243687,0.24275783226305034
0.02450725512873525,0.1346885931395335
0.40156055218597,0.5435361982132708
0.16651974517016993,0.20306409194335584
0.16564090367082673,0.3245235132637466
0.004375545697036843,0.0004921635286854828
0.14784283837051138,0.14461751884633464
0.03571829189993331,0.01474412395730475
0.4546110718469046,0.47787235088056734
0.5332235701852999,0.5984229714613164
0.08401692959023964,0.012854442705343607
0.00015468986387675725,1.6254822439933998e-07
0.15037687812425427,0.12729116035998106
0.2913308781891142,0.3091636116299242
0.24573795249544858,0.18663188756363455
0.1608852043794224,0.2636065385245889
0.38648675096295954,0.33049084832027487
0.4042638102200885,0.4522271577698743
0.2428467459070906,0.27432077365564167
0.15424451527622554,0.0760813277786193
0.016831757729564818,0.053361222504389426
0.009980072197698723,0.031092755614665273
0.060261508377863884,0.05609862467743997
0.020065601028529244,0.054889636870424925
8.495819169790224e-05,0.010517546012310818
0.30593147840846263,0.3955147988720579
0.014954892319393369,0.002869844494192152
0.011694410122061441,0.0034960951636018854
0.25778441544309544,0.3102189442587873
0.5866968612968819,0.543957277949869
1.630121789604916e-05,0.002901646758280586
0.02313442846394544,0.07433748540218924
0.17929279835141423,0.3456828376811194
0.3813394368982138,0.36081667884108587
0.25839898831208297,0.42646304851724126
0.0057250342899260445,0.05319203588932839
0.006615490864344758,0.024460264026714626
0.5215837635783348,0.6058606453288524
0.09009975894372836,0.10407186514725741
0.052685161165733456,0.09773727006083804
0.46455813181251476,0.3449986507875932
0.10587829236916507,0.06570940908876184
0.02006507960344901,0.1129475329323974
0.5698644566944362,0.4319004847980686
0.1973971373848596,0.15809443963723416
0.07108867345954485,0.03173304615227049
0.021034352668527226,0.03288756400720003
0.04953969376748381,0.033726983980365596
0.15221874952349673,0.26211037624496564
0.0020897285495686813,3.908072824805154e-05
