rho0,rho1,sigma_eps,n_pos,n_neg,seed,d2_fisher,d2_best_single,amp_analytical,auc_r,auc_c,auc_opt,auc_fix,amp_opt,amp_fix,tpr_fpr_opt,tpr_fpr_fix
0.6,0.3,0.0,200000,200000,42,7.8125,6.25,1.5625,0.9618800608,0.961438789475,0.981266607725,0.9796313037,0.01938654692499997,0.017751242899999964,0.901005,0.89154
0.6,0.3,0.0,200000,200000,2024,7.8125,6.25,1.5625,0.961292557925,0.961328460325,0.981044633925,0.97929262025,0.019716173599999998,0.017964159925,0.8984,0.88915
0.6,0.3,0.0,200000,200000,7,7.8125,6.25,1.5625,0.961564733825,0.961546918075,0.9810977691,0.979384833,0.019533035275000055,0.017820099175000048,0.898905,0.88954
0.6,0.3,0.25,200000,200000,42,6.70292512991289,5.325443786982249,1.3774813429306407,0.949129482275,0.933000811925,0.9720522802,0.971210681925,0.02292279792499996,0.022081199649999994,0.85098,0.84562
0.6,0.3,0.25,200000,200000,2024,6.70292512991289,5.325443786982249,1.3774813429306407,0.948448931775,0.9327789828,0.971673760725,0.970767125725,0.023224828949999998,0.02231819395000001,0.84843,0.84475
0.6,0.3,0.25,200000,200000,7,6.70292512991289,5.325443786982249,1.3774813429306407,0.948797602675,0.933171394275,0.971766919825,0.9708861868,0.022969317149999946,0.022088584125000033,0.847855,0.84385
0.6,0.3,0.5,200000,200000,42,4.7980502607209505,3.6885245901639343,1.1095256705570162,0.91335060045,0.8651006098,0.94479997305,0.944719662875,0.031449372599999914,0.03136906242499993,0.72112,0.720665
0.6,0.3,0.5,200000,200000,2024,4.7980502607209505,3.6885245901639343,1.1095256705570162,0.912558374925,0.86467684355,0.944100544975,0.944009999975,0.03154217004999993,0.03145162504999999,0.717245,0.717725
0.6,0.3,0.5,200000,200000,7,4.7980502607209505,3.6885245901639343,1.1095256705570162,0.913026177675,0.86537479005,0.9442620767,0.94417676095,0.031235899024999902,0.031150583274999977,0.717975,0.718205
0.8,0.0,0.0,200000,200000,42,6.944444444444445,6.25,0.6944444444444446,0.96150011445,0.961390330425,0.98271509595,0.980921333825,0.021214981499999896,0.019421219374999965,0.908865,0.89588
0.8,0.0,0.0,200000,200000,2024,6.944444444444445,6.25,0.6944444444444446,0.961259848575,0.961296324975,0.982652789875,0.98081316795,0.021356464900000094,0.019516842975000004,0.9074,0.8957
0.8,0.0,0.0,200000,200000,7,6.944444444444445,6.25,0.6944444444444446,0.961340599675,0.961637076675,0.982761413225,0.9808800466,0.02112433655000001,0.019242969925000075,0.908195,0.896805
0.8,0.0,0.25,200000,200000,42,6.07475204424047,5.325443786982249,0.749308257258221,0.9486766794,0.93293194435,0.973237867525,0.972540189425,0.024561188124999966,0.02386351002499998,0.849825,0.8453
0.8,0.0,0.25,200000,200000,2024,6.07475204424047,5.325443786982249,0.749308257258221,0.948423892825,0.93279617815,0.973104957975,0.9723907775,0.024681065150000014,0.023966884675000077,0.848725,0.845185
0.8,0.0,0.25,200000,200000,7,6.07475204424047,5.325443786982249,0.749308257258221,0.948534307075,0.933258603925,0.973239119175,0.9725093751,0.024704812099999973,0.023975068025000046,0.849795,0.84614
0.8,0.0,0.5,200000,200000,42,4.48564032339755,3.6885245901639343,0.7971157332336154,0.912732024975,0.8649786957,0.94570174355,0.94587875465,0.032969718575000084,0.0331467296750001,0.708595,0.70952
0.8,0.0,0.5,200000,200000,2024,4.48564032339755,3.6885245901639343,0.7971157332336154,0.912571683675,0.8648015022,0.94545707025,0.94563892335,0.032885386575000064,0.033067239675000026,0.70831,0.70896
0.8,0.0,0.5,200000,200000,7,4.48564032339755,3.6885245901639343,0.7971157332336154,0.91269271,0.865415130225,0.945687492925,0.945876955825,0.03299478292500002,0.033184245825000014,0.709105,0.7098
0.8,0.3,0.0,200000,200000,42,6.944444444444445,6.25,0.6944444444444446,0.96188142415,0.96154687705,0.977944183675,0.976554918225,0.016062759525000025,0.01467349407499996,0.8807,0.871735
